0	1	2	3	4	5	label
-666413.774415863	254332.4410989373	113787.38377737309	71478.86544276448	-107150.12981842396	-185090.69402081572	Pt
1133038.8967116666	469808.91073412093	-109831.96449322609	355953.57659541606	-705885.6278164141	193167.07147517998	Co
994342.134178349	96262.6518212703	242879.7394637545	158575.3465455735	-484024.55809211126	-92975.51438222441	Co
-536000.9653212521	216619.9069218851	113631.71273402644	13277.554262344454	-18648.497914413307	-154519.46414968252	Pt
-713681.6970570901	279231.65621042415	111466.46128931202	57360.82185602816	-138963.4568740916	-212096.45127873545	Pt
-433269.12913288426	214818.6378875494	97120.93212163806	-63094.66462236833	-2919.209631839361	-64316.89123128583	Pt
-353926.3637276091	-133588.3570026355	19296.618487587843	-97703.98651281498	100526.8146884398	410289.40575923945	Co
-283066.25130632235	-33829.48077405618	-69953.63846179769	176454.1484486783	28342.181202976422	11652.104291325393	Pt
-290627.6181930113	168112.7123803946	-11505.769925142167	-72835.31302056661	115133.75144318742	-212316.08330878662	Pt
279888.8156618836	-173233.92743290256	-250781.04318812772	-498101.13061300706	172759.59509623723	-125615.8217676085	Pt
-323212.5716214708	-12285.567242765832	97973.78930224015	-80326.61992384483	163408.32145109284	392642.7469177283	Co
-243969.96663852583	-276748.2115448108	33392.346324334256	-109489.13341488068	128485.3691190187	458100.218694719	Co
-270261.8389518915	49316.093081321305	-143026.9030516659	53027.78998674921	-10212.967339963632	16967.895895504025	Pt
360868.1178144682	-548332.9483679909	156138.87917091034	84252.05265205093	-269374.58447212627	-203481.3117647249	Co
-46735.81617818577	-535781.2303673188	-216183.8072079417	71129.84462083637	32553.676332641226	249687.63748618888	Co
-559273.0594339779	76949.02912012492	75931.2431486278	19691.70061313482	25356.770663840904	156492.76359487794	Co
277942.10239727295	-633304.8873887616	-369234.97104065795	83507.8064294534	-119158.68339550187	-73839.68257477658	Co
18234.014704488018	-395079.05681800214	-57026.04077533179	110154.98047998415	-99422.66878403397	-86765.94288899055	Pt
-469176.7590983196	162868.84033579603	32213.60790963848	60865.83355100617	-40465.52347783456	-159159.3500282499	Pt
-414330.836245174	21882.396489705574	153380.46571150998	63867.02497343834	155884.71260400204	246122.96564444012	Co
44775.5197577142	-585546.0696353673	244372.03399023556	185426.7827052258	11669.287680958902	83920.6176170873	Co
-78200.347337566	-19051.62309711564	-207203.66596550163	-394466.6288110514	242077.86844777522	74396.4612173167	Pt
1050627.6689759456	241081.52682626547	295330.4643655771	-657884.1657932521	403516.34487798315	-400942.73315114004	Pt
-149581.6886532851	5736.3204406630575	-271759.36743279523	-254331.66426198452	131672.85152662807	132341.0375191349	Pt
28229.20535363847	-290316.857838947	-383198.7933231041	192787.93573154905	-151812.16443247587	-30644.88939183103	Pt
-463181.12349153636	27257.00950416664	143180.37259932357	68317.43478035709	102706.78477093519	197759.27715919018	Pt
-339337.3137488878	134383.4771159508	-53018.25879001798	-73686.66727414446	-17769.541180314995	-34058.60450463342	Pt
1224449.0625618561	609552.3040195848	8574.247644581435	-328563.9140521163	167748.1472017522	-131795.88172274377	Co
-215809.64614797232	7923.867399212577	-168698.94139040305	-262065.35763736136	207363.97142368965	63968.474023791154	Pt
1191896.7341879643	570868.9026555854	65328.37922626426	-383117.16152871953	30022.250955396772	-111463.3935603198	Co
-211901.6626927232	-381241.6822017937	-143972.1014389102	120817.7784780889	-90320.83964641998	8303.32395642095	Pt
-482495.98710648646	140969.89879212104	88902.84762692526	82055.72484451748	-61675.87780486566	-65291.41452427932	Pt
-598212.353225025	222194.01449980828	97917.2697337479	66578.59630101867	-110374.1862320914	-166613.0686255711	Pt
-393930.0643798713	183666.53317998548	82739.31912493113	-101205.44835101983	171647.7598844412	227756.002077723	Co
1050951.9223327315	296509.29024611996	549159.6815365474	551295.0929018368	140728.8954129379	413074.2685961646	Co
195243.63648228953	-272025.29876085697	-505342.5361382984	33559.073765341054	118691.03829947751	210761.01060004372	Co
-393409.0987680321	109951.54681295317	174033.2916153164	-48028.427632645136	138257.18788720938	204632.0214207799	Pt
964266.8222632149	229965.55829462188	-476362.838764533	1479526.2771290676	1067398.036710132	-388785.573686226	Co
