0	3	5	0^2	0 1	0 3	0 4	1^2	1 2	1 5	2^2	2 4	3 4	3 5	4^2	5^2	label
-542790.4080245498	3799.566911339552	-209777.0540277759	294621427043.4573	-131017545619.47719	-2062368474.122574	28884712767.111343	58263234390.00866	13864114266.664825	-50635520340.220474	3299055852.4863	-3056544499.208594	-202194801.62313318	-797061953.2422268	2831859990.670197	44006412396.57242	1
-409864.7967265342	69781.42795129567	40664.307521227245	167989151595.6832	-17800654347.577065	-28600950782.545094	-39701675224.96595	1886212842.8658402	6937577490.944281	1766073320.3976655	25516728732.336414	15473220422.989372	6759398736.811169	2837613445.4818497	9382885744.088602	1653585906.1809387	1
-48698.74375581339	-215667.92727221275	105209.78009814762	2371567643.3943734	-2676649914.3954225	10502757126.576887	-293598023.7668479	3020978458.7795663	-28287537219.727077	5782690212.817883	264876023737.25912	-3102820798.5947695	-1300232251.4624455	-22690375202.532795	36347181.49401916	11069097828.30058	1
-321290.1931087961	150162.1770315837	53616.76930955973	103227388187.88748	1505021640.9179246	-48245634856.11475	-21841443816.12095	21942724.49777107	-82399896.74535541	-251157364.45670617	309430261.6949381	1195818496.0849972	10208088585.60816	8051210804.923692	4621338157.897364	2874757951.1945457	1
1188459.7465323887	-277441.4115455908	86119.30520995552	1412436569127.8296	382279952810.78876	-329727949643.061	-494905022157.4201	103465150588.1486	34029590065.648525	27701135042.912876	11192299952.721754	-44055187570.307785	115533696727.19878	-23893061598.77561	173410251695.67776	7416534729.845472	0
-47227.217485160734	-125602.78121397075	43249.74920380494	2230410071.3906717	5593074607.384973	5931869865.133258	5606019300.972883	14025440417.900276	74725912137.74458	-5122026808.451652	398130951930.12756	74898858880.56525	14909445299.474598	-5432288786.804618	14090436913.82066	1870540806.192026	0
-376064.9945573769	55475.43359050996	38998.74237061473	141424880131.4399	-34527628374.44971	-20862368631.28325	-36662130108.43723	8429613799.609495	19979302152.85624	3580588736.3388944	47353594601.643295	21214424780.64408	5408234197.684511	2163472142.4944444	9504068752.53326	1520901906.4895806	1
-445285.9532864547	84863.0239751131	-135153.12766019782	198279580194.22675	-59901319860.2675	-37788312529.5295	21063805235.65508	18096508563.752514	7034421006.549835	-18181239875.94321	2734399219.775725	-2473596147.35048	-4014360200.5127196	-11469503112.938889	2237668097.5973186	18266367916.33373	1
-596362.3996514421	34676.33502116696	-194645.70274025432	355648111718.0263	-147746943541.47415	-20679662364.34047	54844134585.918884	61378532899.83073	21103154295.650433	-48222871982.14271	7255682079.479249	-7833557883.741767	-3188989758.507312	-6749599598.651535	8457458367.90261	37886949595.247444	1
585149.2988161084	211013.4738271743	-357637.4912030627	342399701904.9833	-389422087597.822	123474386250.72229	-98125871332.50468	442902144672.80365	-220256157367.22867	238010946453.0224	109533844985.14108	-55499747051.66021	-35385637518.634834	-75466329389.59375	28121188690.273006	127904575114.02075	0
185879.93927351464	59844.864906787625	-218822.8722911891	34551351824.32549	-108965899991.63329	11123959854.705372	-40086151421.99766	343649864160.3706	217754836098.1487	128277593112.82028	137981048704.86288	80107201733.50475	-12905912955.741428	-13095425230.781452	46507573538.58453	47883449437.76605	1
606958.4472060568	343312.3444611997	-438097.0425017626	368398556634.78766	-265171600854.79837	208376327500.84067	-208417682907.45914	190869308887.12558	-132351719212.09485	191398430361.58633	91774721040.9622	-104024859970.23502	-117886757611.66124	-150404122762.79797	117910154006.321	191929018648.7912	0
-67393.1927074798	-170841.7612523352	114320.87655267766	4541842423.307508	614411080.4656396	11513571738.563883	4050089382.9257417	83116264.41765606	4839551959.132557	-1042241960.3621765	281789170016.74677	31901472208.062473	10266977651.759512	-19530779898.170242	3611579284.545606	13069262815.772564	1
1198776.4147596965	48934.42521183796	391387.3483112151	1437064892584.1118	960599437561.7133	58661434813.773605	407445888713.7486	642108289058.9584	-340952339590.1905	313625178162.9261	181041889433.31125	-144617645588.02603	16632067601.305393	19152314924.79473	115521681092.08728	153184056418.0844	0
30765.34300450043	-80821.53004378617	-14216.319970886076	946506330.1845636	-8663464001.139975	-2486502093.9456186	718627518.8328272	79297524068.76436	90312695484.88425	4003289554.6928334	102857977743.06885	-7491366994.410904	-1887857242.324348	1148984731.6390464	545612315.8976921	202103753.51461428	0
427234.0597607565	-55851.68203338436	221317.02830823063	182528941819.65765	-207888254458.42786	-23861740859.589703	66623112226.52081	236770815142.6849	-420094967653.8756	-107690877273.8973	745361212452.4679	134630185090.12326	-8709541749.161627	-12360928293.644821	24317453651.44917	48981227019.18616	0
139760.71690636416	-383018.8531625145	-131288.78139631482	19533057990.180866	-29419219508.87106	-53530989506.646454	37541349432.385475	44309010752.24451	27252860256.76344	27635902022.011547	16762242703.354715	-34776896430.66904	-102883306010.7946	50286078483.52058	72152190297.7476	17236744120.529343	1
714478.217133714	163705.37228027903	379064.6092195868	510479122758.57056	-491840493179.6625	116963922522.02469	-26685581995.109623	473882397822.60944	-424669049466.7918	-260944728438.97165	380566576019.0093	-23041089331.76374	-6114354546.106137	62054912970.57095	1395003741.9150515	143689977962.79807	1
-18837.663671995128	-86933.47881192055	-51557.71961520565	354857572.61920494	5941637082.172078	1637623635.695474	3591042936.4181395	99485128514.15396	177423934582.5265	16261956051.022963	316421690687.82996	107232562040.1538	16572217259.08113	4482091925.75942	36340183685.57341	2658198451.9201612	1
-275368.45518683287	50023.0730874317	79521.04325611159	75827786111.98279	-13310309314.23149	-13774776359.784101	-12230408406.567713	2336403884.7036963	136603318.4053736	3843757927.9409	7986832.551310542	125520326.71425495	2221759980.444303	3977886958.7892876	1972665924.4744077	6323596320.54037	0
340327.8674231347	-172981.07954988198	-60982.27969548698	115823057344.77873	-112907270073.9195	-58870281907.76295	-64661077452.999794	110064886282.50389	153200183397.31195	20231498453.05203	213240543698.2757	87736501980.62466	32865786358.81082	10548780575.138186	36098640747.64315	3718838436.8586035	1
1054670.8082273442	189389.87316914133	273394.68307619164	1112330513726.9194	627922638786.6993	199743970605.3725	-882559068357.6259	354469139734.1728	-116061856157.44545	162771842634.0007	38001487138.80533	163127489462.86526	-158483337849.71512	51778184352.91753	700250959160.0626	74744652734.33127	0
-558847.144490318	15303.51494022892	-192235.58350277625	312310130904.98236	-118724602238.14536	-8552325625.011852	51291304384.230865	45133121797.10965	9408758825.554976	-40839598828.406105	1961414125.8699238	-4064764199.6841903	-1404565185.1076162	-2941880124.1783605	8423671360.940314	36954519564.65286	1
-666413.774415863	71478.86544276448	-185090.6940208157	444107318731.1967	-169490642029.14294	-47634500510.67627	71406322441.44562	64684990595.34441	28939823082.360912	-47074568035.01053	12947568706.899185	-12192332943.444353	-7658969711.465872	-13230072812.621777	11481150320.105106	34258565013.107216	1
1133038.8967116666	355953.57659541606	193167.07147518	1283777141461.5908	532311769883.49817	403309247706.24194	-799795872945.7319	220720412605.18115	-51600035602.35119	90751611439.45439	12063060424.441275	77528805210.611	-251262513888.5533	68758509972.0527	498274519557.77313	37313517502.2973	0
994342.134178349	158575.3465455735	-92975.5143822244	988716279802.3539	95718010653.62924	157678148512.19684	-481286012088.0422	9266498135.663113	23380247794.440243	-8950069568.879576	58990567841.98126	-117559758563.47089	-76754362036.02461	-14743624413.414186	234279772836.26358	8644446274.639215	0
-536000.9653212521	13277.554262344454	-154519.46414968252	287297034825.31415	-116108479217.93019	-7116781901.721933	9995612883.91689	46924184074.84616	24614891035.81919	-33471991941.72379	12912166138.868307	-2119060757.931704	-247606442.96984008	-2051640569.8357983	347766474.46387744	23876264801.105022	1
-713681.6970570901	57360.82185602816	-212096.45127873545	509341564714.28815	-199282522276.31747	-40937368686.79961	99175675730.82144	77970317830.0165	31124964597.729725	-59224043366.91483	12424771992.361696	-15489764786.28491	-7971058094.25262	-12166026758.0953	19310842346.39751	44984904645.033	1
-433269.12913288426	-63094.66462236833	-64316.89123128583	187722138259.56793	-93074284159.05095	27336970393.864925	1264803414.9433677	46147047183.86208	20863386348.739433	-13816466967.466494	9432475456.175829	-283516360.5027026	184186552.6832918	4058052681.7913218	8521784.874623697	4136662497.657052	1
-353926.3637276091	-97703.98651281498	410289.40575923945	125263870941.44786	47280441430.28847	34580016668.17197	-35579089979.798706	17845849126.66359	-2577803559.4635406	-54809887610.96445	372359485.0555169	1939827590.8152645	-9821870546.495573	-40086910566.6516	10105640471.403915	168337396478.26984	0
-283066.25130632235	176454.1484486783	11652.104291325391	80126502628.61404	9575984306.351387	-49948214328.81667	-8022714986.971049	1144433769.442237	2366495267.418662	-394184638.1006898	4893511534.0439005	-1982638697.091771	5001095449.349341	2056062140.361012	803279235.34235	135771534.4159236	1
-290627.6181930113	-72835.31302056661	-212316.08330878665	84464412456.54277	-48858197187.08085	21167953543.509697	-33461047955.55974	28261884063.89328	-1934266190.1404195	-35693032647.02195	132382741.57030599	-1324702454.7238193	-8385802825.596668	15464108387.096172	13255780721.38166	45078119231.58363	1
279888.8156618836	-498101.1306130071	-125615.8217676085	78337749132.61188	-48486238781.65179	-139412935527.11975	48353478465.712395	30009993613.82815	43443785037.199715	21760922152.514313	62891131622.525566	-43324831478.99292	-86051749641.68109	62569382845.32779	29845877697.815834	15779334678.351587	1
-323212.5716214708	-80326.61992384483	392642.7469177283	104466366454.16438	3970849782.362847	25962573395.24636	-52815623800.555664	150935162.47652084	-1203663576.501243	-4823838869.642037	9598863390.239748	16009732456.0821	-13126038129.595394	-31539664697.514755	26702279519.463688	154168326707.0992	0
-243969.96663852583	-109489.13341488068	458100.218694719	59521344621.60341	67518251937.85918	26712060226.509544	-31346571217.50567	76589572593.25134	-9241272124.544441	-126778416232.05019	1115048793.0442796	4290427943.232194	-14067751721.332428	-50156995962.05211	16508490077.650482	209855810368.14938	0
-270261.8389518915	53027.78998674921	16967.895895504025	73041461593.65814	-13328258006.080551	-14331388037.37354	2760175334.4541793	2432077036.805547	-7053528064.029074	836790333.3768462	20456694996.550636	1460729089.6028085	-541571087.2451202	899770020.0638113	104304701.88716383	287909491.12066233	1
360868.1178144682	84252.05265205093	-203481.3117647249	130225798454.95691	-197875879013.21487	30403879662.551094	-97208699285.51068	300669022265.9338	-85616091970.65875	111575507617.73796	24379349588.74814	-42059845696.607506	-22695361674.069923	-17143718192.509993	72562666759.53069	41404644237.49317	0
-46735.81617818577	71129.84462083637	249687.63748618888	2184236513.841171	25040173094.169216	-3324311342.9823246	-1521422633.006477	287061526813.91797	115827226211.36224	-133777949619.85936	46735438498.9205	-7037577688.205445	2315537939.377769	17760242858.136333	1059741842.7703655	62343916313.43447	0
-559273.0594339779	19691.70061313482	156492.76359487794	312786355008.6418	-43035518936.48653	-11013037647.36585	-14181358706.532042	5921153082.529833	5842835440.171046	12041966222.951088	5765553686.096035	1925371118.7400959	499317936.4282749	3081608648.8324203	642965818.4986227	24489985057.56235	0
277942.10239727295	83507.8064294534	-73839.68257477658	77251812285.01616	-176022091859.3006	23210335285.586784	-33119214981.83681	401075080390.49207	233838311754.89658	46763031857.84079	136334463839.39555	43997553012.781075	-9950680267.380095	-6166189919.266726	14198791828.549456	5452298722.743765	0
18234.014704488018	110154.98047998417	-86765.94288899055	332479292.2434853	-7203877331.454707	2008567533.844622	-1812874404.567517	156087461136.20212	22529794403.58301	34279406880.507023	3251969326.5098042	5669681164.070628	-10951902139.173191	-9557700745.264175	9884867068.13972	7528328845.41557	1
-469176.7590983196	60865.83355100617	-159159.3500282499	220126831278.00266	-76414274666.85046	-28556834525.278843	18985483160.547382	26526259152.327023	5246592963.274845	-25922098767.700108	1037716534.5559227	-1303540507.173233	-2462967816.556211	-9687366506.905788	1637458590.33518	25331698701.41497	1
-414330.836245174	63867.02497343834	246122.9656444401	171670041863.62518	-9066551636.628168	-26462077865.73612	-64587843331.05478	478839276.1326787	3356332164.4749517	5385760319.45382	23525567261.87969	23909669816.50672	9955892832.857056	15719141593.350163	24300043623.632313	60576514217.614235	0
44775.5197577142	185426.7827052258	83920.6176170873	2004847169.5734549	-26218129610.010284	8302580572.627216	522498421.11722624	342864199665.42633	-143091084031.78284	-49139387807.05802	59717690996.52486	2851647565.813126	2163798471.1419344	15561130127.37199	136172274.98097917	7042670061.233382	0
-78200.347337566	-394466.6288110514	74396.4612173167	6115294323.715965	1489843543.538838	30847427386.10294	-18930573395.35363	362964342.63455015	3947566148.315385	-1417373338.8714988	42933359189.543175	-50159421791.493454	-95491640676.35907	-29346921251.86705	58601694392.21835	5534833441.659707	1
1050627.6689759456	-657884.1657932521	-400942.73315114	1103818498817.829	253286922562.64117	-691191307563.549	423945436812.84924	58120302576.88336	71198719267.56331	-96659886277.97275	87220083182.3874	119170669511.91513	-265467013933.99417	263773875530.00418	162825440583.6875	160755075266.70624	1
-149581.6886532851	-254331.6642619845	132341.0375191349	22374681580.368317	-858048498.1707366	38043359818.308	-19695847481.146317	32905372.197968815	-1558898814.3464057	759150598.6595701	73853153787.473	-35783330838.948814	-33488575466.888504	-33658516322.39931	17337739829.153442	17514150211.64107	1
28229.20535363847	192787.93573154905	-30644.88939183103	796888034.8978908	-8195414197.558701	5442250227.469954	-4285536764.9446917	84283877945.47935	111249069605.23964	8896727997.058464	146841315204.28305	58174238222.29341	-29267553799.875515	-5907964966.57275	23046933269.67309	939109245.837558	1
-463181.1234915364	68317.43478035709	197759.27715919015	214536753158.8819	-12624932285.15939	-31643346195.62556	-47571843960.40519	742944567.1102304	3902668776.749883	5390326497.06517	20500619097.68113	14705595711.981035	7016664070.088538	13510406519.533533	10548683637.983208	39108731702.52539	1
-339337.3137488878	-73686.66727414446	-34058.60450463342	115149812502.31111	-45601328136.76189	25004635731.916264	6029868370.678331	18058918921.773273	-7124777966.835938	-4576913699.049624	2810935765.1253185	942110132.8778219	1309378268.5680792	2509665057.9546003	315756593.7589104	1159988540.8030357	1
1224449.062561856	-328563.9140521163	-131795.88172274377	1499275506808.6077	746365747239.2	-402309776552.76794	205399061587.6737	371554011335.5843	5226452406.989112	-80336483364.39114	73517722.6706103	1438314156.0275238	-55115987819.59826	43303370754.77447	28139440889.620724	17370154439.075466	0
-215809.64614797232	-262065.35763736136	63968.474023791154	46573803370.51302	-1710047019.54752	56556232099.36077	-44751145296.784706	62787674.56030389	-1336748041.965088	506877705.8944953	28459332826.242645	-34982082461.68623	-54342913332.25281	-16763921022.561089	42999816644.60478	4091965668.9324436	1
1191896.7341879643	-383117.16152871953	-111463.3935603198	1420617824967.935	680416780724.6592	-456636093637.4436	35783422866.7089	325891304019.19226	37293940161.16542	-63630985168.04742	4267797132.3305955	1961304995.6402345	-11502039568.734497	42703538955.18828	901335552.4288222	12424088103.982742	0
-211901.6626927232	120817.7784780889	8303.32395642095	44902314651.94064	80785746346.33087	-25601488142.34815	19139136096.879227	145345220248.05347	54888166142.69741	-3165573193.0123763	20727965992.73585	13003681087.62192	-10912363196.35616	1003189154.3986752	8157854074.434311	68945188.72527407	1
-482495.98710648646	82055.72484451748	-65291.41452427932	232802377573.86273	-68017410470.00593	-39591557956.593704	29758363542.117695	19872512365.460846	12532625432.299011	-9204124097.482077	7903716316.17629	-5483161166.742833	-5060858858.700139	-5357534344.913595	3803913903.0007205	4262968810.581272	1
-598212.353225025	66578.59630101867	-166613.0686255711	357858019551.0221	-132919204286.44563	-39828138767.65132	66027201681.19655	49370180079.541016	21756631251.00202	-37020426586.0477	9587791712.111544	-10807538964.930616	-7348558387.199865	-11092864234.495817	12182460986.396393	27759914636.82926	1
-393930.0643798713	-101205.44835101983	227756.002077723	155180895622.32956	-72351769240.01944	39867868784.51099	-67617213101.938614	33733395410.354706	15196443901.348572	41831155312.54896	6845794929.257195	14202018782.158335	-17371688497.55307	-23050148304.911762	29462953473.346786	51872796482.427765	0
1050951.9223327315	551295.0929018368	413074.2685961646	1104499943054.8638	311617008573.67365	579384637657.7872	147899303161.989	87917759202.25784	162830947404.18695	122480358200.38391	301576355825.32214	77282635387.95906	77583149470.64848	227725817281.08087	19804622004.14562	170630351376.25632	0
195243.63648228956	33559.073765341054	210761.0106000437	38120077586.82843	-53111208545.25097	6552195598.922589	23173669935.448696	73997763165.93349	137465954369.58978	-57332326875.61703	255371078830.6874	-59979630311.145874	3983161309.577086	7072944301.584694	14087562572.608038	44420203589.15173	0
-393409.0987680321	-48028.427632645136	204632.0214207799	154770718993.47522	-43255938939.835	18894820430.20457	-54391635684.90952	12089342646.561031	19135229610.05379	22499607282.676117	30287586590.46176	24061353497.4883	-6640275343.133858	-9828154232.129816	19115050002.479115	41874264190.754524	1
964266.8222632149	1479526.2771290676	-388785.573686226	929810504517.5984	221748158126.74112	1426658101702.1707	1029256512948.4733	52884158001.75713	-109547046167.29677	-89407291509.64781	226921554155.80444	-508468758858.9276	1579243443468.6172	-575218472437.4707	1139338568772.644	151154222306.52786	0
